,id,budget,homepage,original_language,popularity,popularity_cat,release_date,year,month,runtime,revenue,best_seller,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,TV Movie,War,Western,lang_cnt,performance_lead_actor,female_actor_count,male_actor_count,unkown_gender_actor_count,country_cnt,cnt_crew
0,1,14000000,0,en,6.575393199920654,High,2/20/15,2015,2,93.0,12314651.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,11.0,0.0,1.0,72.0
1,2,40000000,0,en,8.248894691467285,High,8/6/04,2004,8,113.0,95149435.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,9.0,0.0,1.0,9.0
2,3,3300000,1,en,64.29998779296875,Superb,10/10/14,2014,10,105.0,13092000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,19.0,0.0,1.0,64.0
3,4,1200000,1,hi,3.174936056137085,Medium,3/9/12,2012,3,122.0,16000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,3.0
4,5,0,0,ko,1.148069977760315,Low,2/5/09,2009,2,118.0,3923970.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0
5,6,8000000,0,en,0.7432739734649658,Low,8/6/87,1987,8,83.0,3261638.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,,11.0
6,7,14000000,1,en,7.286477088928223,High,8/30/12,2012,8,92.0,85446075.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,2.0,77.0
7,8,0,0,en,1.9490439891815186,Low,1/15/04,2004,1,84.0,2586511.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,,1.0
8,9,0,0,en,6.902422904968262,High,2/16/96,1996,2,100.0,34327391.0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,0.0,1.0,8.0
9,10,6000000,0,en,4.672036170959473,Medium,4/16/03,2003,4,91.0,18750246.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,0.0,1.0,11.0
10,11,1000000,0,en,14.774065971374512,Superb,11/21/76,1976,11,119.0,117235147.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,7.0,10.0,0.0,1.0,31.0
11,12,0,0,en,10.543749809265137,Superb,7/10/87,1987,7,98.0,22642033.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,9.0,0.0,1.0,2.0
12,13,15000000,1,en,20.726577758789062,Superb,9/15/99,1999,9,122.0,356296601.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,7.0,18.0,0.0,1.0,109.0
13,14,53000000,0,en,13.31423282623291,Superb,3/4/05,2005,3,118.0,95226116.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,9.0,23.0,0.0,1.0,18.0
14,15,102000000,0,en,20.66606330871582,Superb,6/20/02,2002,6,145.0,358372926.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,30.0,2.0,9.0,0.0,1.0,156.0
15,16,500000,1,sr,1.018476963043213,Low,10/6/10,2010,10,97.0,198.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,1.0,25.0
16,17,26000000,0,en,6.3369269371032715,High,8/4/05,2005,8,85.0,57891803.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,8.0,0.0,1.0,35.0
17,18,0,0,en,4.183557987213135,Medium,12/25/13,2013,12,111.0,1234254.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,9.0,0.0,1.0,31.0
18,19,8000000,0,en,6.4962592124938965,High,2/2/11,2011,2,96.0,1749457.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,11.0,0.0,3.0,2.0
19,20,32000000,0,en,11.359659194946289,Superb,8/2/05,2005,8,87.0,85167639.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,17.0,2.0,5.0,0.0,1.0,17.0
20,21,80000000,0,en,12.000578880310059,Superb,4/3/98,1998,4,130.0,136159423.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,5.0,0.0,1.0,120.0
21,22,4000000,0,en,7.992290019989014,High,8/13/82,1982,8,95.0,36690067.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,1.0,11.0
22,23,0,1,en,7.820786952972412,High,7/28/12,2012,7,116.0,100345.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,8.0,0.0,1.0,19.0
